,household_income,year,number_adults,number_children,single,employment,divorce,medical,education,immigration,housing,total_circumstances,circumstance_cost,disposable_unit,extra_cost,single_parent_cost,family_base_income,family_need_income,disposable_income,family_disposable_unit,percent_award,percent_eligible
0,0.0,2022,1,2,1,0,0,0,0,0,0,0,3000,6000,0,15409.33,118362.33,118362.33,-118362.33,15000.0,90.0,90
1,30000.0,2022,1,1,1,1,0,0,1,0,1,3,3000,6000,9000,7704.67,84412.67,93412.67,-63412.67,9000.0,90.0,90
2,50000.0,2022,2,3,0,0,0,0,0,0,0,0,3000,6000,0,0.0,159983.33,159983.33,-109983.33,24000.0,90.0,90
3,50000.0,2022,2,3,0,0,0,0,0,0,0,0,3000,6000,0,0.0,159983.33,159983.33,-109983.33,24000.0,90.0,90
4,80000.0,2022,2,2,0,0,0,1,1,0,0,2,3000,6000,6000,0.0,126033.67,132033.67,-52033.67,18000.0,90.0,90
5,81000.0,2022,1,1,1,0,1,0,0,0,1,2,3000,6000,6000,7704.67,84412.67,90412.67,-9412.67,9000.0,90.0,90
6,90000.0,2022,2,3,0,0,0,1,1,0,0,2,3000,6000,6000,0.0,159983.33,165983.33,-75983.33,24000.0,90.0,90
7,105000.0,2022,1,2,1,0,1,0,0,0,0,1,3000,6000,3000,15409.33,118362.33,121362.33,-16362.33,15000.0,85.0,90
8,105000.0,2022,1,2,1,0,1,0,0,0,1,2,3000,6000,6000,15409.33,118362.33,124362.33,-19362.33,15000.0,85.0,90
9,137000.0,2022,1,1,1,0,0,0,0,0,0,0,3000,6000,0,7704.67,84412.67,84412.67,52587.33,9000.0,0.0,0
10,150000.0,2022,3,2,0,0,0,1,1,0,0,2,3000,6000,6000,0.0,133705.0,139705.0,10295.0,21000.0,50.0,80
11,160000.0,2022,2,2,0,0,0,0,0,0,0,0,3000,6000,0,0.0,126033.67,126033.67,33966.33,18000.0,0.0,50
12,,2022,0,0,0,0,0,0,0,0,0,0,3000,6000,0,0.0,42791.67,42791.67,,0.0,0.0,0
13,,2022,1,1,1,0,0,0,0,0,0,0,3000,6000,0,7704.67,84412.67,84412.67,,9000.0,0.0,0
14,15549.0,2021,1,1,1,0,0,0,0,0,0,0,3000,6000,0,8265.67,75411.0,75411.0,-59862.0,9000.0,95.0,90
15,40000.0,2021,1,1,1,1,0,0,1,0,1,3,3000,6000,9000,8265.67,75411.0,84411.0,-44411.0,9000.0,90.0,90
16,40000.0,2021,1,3,1,0,0,0,1,0,1,2,3000,6000,6000,24797.0,135193.0,141193.0,-101193.0,21000.0,91.67,90
17,45000.0,2021,1,1,1,0,0,0,0,0,0,0,3000,6000,0,8265.67,75411.0,75411.0,-30411.0,9000.0,80.0,90
18,50000.0,2021,3,1,0,0,0,0,1,0,0,1,3000,6000,3000,0.0,86225.0,89225.0,-39225.0,15000.0,91.67,90
19,50000.0,2021,1,1,1,0,0,0,0,0,0,0,3000,6000,0,8265.67,75411.0,75411.0,-25411.0,9000.0,91.67,90
20,85000.0,2021,1,2,1,0,0,0,0,0,1,1,3000,6000,3000,16531.33,105302.0,108302.0,-23302.0,15000.0,88.89,90
21,130000.0,2021,4,1,0,0,0,0,0,0,1,1,3000,6000,3000,0.0,91632.0,94632.0,35368.0,18000.0,86.67,50
22,26500.0,2020,1,1,1,0,0,0,0,0,0,0,2000,4000,0,5035.67,53726.0,53726.0,-27226.0,6000.0,95.0,90
23,30000.0,2020,1,1,1,1,0,0,1,0,1,3,2000,4000,6000,5035.67,53726.0,59726.0,-29726.0,6000.0,95.0,90
24,40000.0,2020,1,1,1,1,0,0,1,0,0,2,2000,4000,4000,5035.67,53726.0,57726.0,-17726.0,6000.0,90.0,90
25,41000.0,2020,2,2,0,1,0,0,0,0,0,1,2000,4000,2000,0.0,78317.33,80317.33,-39317.33,12000.0,95.0,90
26,50000.0,2020,1,1,1,0,0,0,0,0,0,0,2000,4000,0,5035.67,53726.0,53726.0,-3726.0,6000.0,95.0,90
27,50000.0,2020,3,3,0,0,0,0,0,0,0,0,2000,4000,0,0.0,102908.67,102908.67,-52908.67,18000.0,95.0,90
28,50000.0,2020,3,3,0,0,0,0,0,0,0,0,2000,4000,0,0.0,102908.67,102908.67,-52908.67,18000.0,95.0,90
29,70000.0,2020,1,1,1,0,0,0,0,0,0,0,2000,4000,0,5035.67,53726.0,53726.0,16274.0,6000.0,89.0,0
30,75000.0,2020,2,4,0,1,0,0,0,0,0,1,2000,4000,2000,0.0,117193.33,119193.33,-44193.33,20000.0,90.0,90
31,80000.0,2020,2,2,0,0,0,0,0,0,0,0,2000,4000,0,0.0,78317.33,78317.33,1682.67,12000.0,0.0,80
32,80000.0,2020,1,1,1,0,0,0,1,0,1,2,2000,4000,4000,5035.67,53726.0,57726.0,22274.0,6000.0,89.0,0
33,80000.0,2020,1,2,1,0,0,0,0,0,1,1,2000,4000,2000,10071.33,73164.0,75164.0,4836.0,10000.0,90.0,80
34,90000.0,2020,5,2,0,0,0,0,1,0,0,1,2000,4000,2000,0.0,93777.33,95777.33,-5777.33,18000.0,90.0,90
35,102912.0,2020,3,1,0,0,0,0,0,0,0,0,2000,4000,0,0.0,64032.67,64032.67,38879.33,10000.0,90.0,0
36,26800.0,2019,1,1,1,0,0,0,0,0,0,0,2000,4000,0,5359.0,55569.67,55569.67,-28769.67,6000.0,40.0,90
37,30000.0,2019,2,3,0,0,0,0,0,0,0,0,2000,4000,0,0.0,98591.67,98591.67,-68591.67,16000.0,40.0,90
38,50000.0,2019,1,1,1,0,0,0,0,0,0,0,2000,4000,0,5359.0,55569.67,55569.67,-5569.67,6000.0,60.0,90
39,50000.0,2019,1,1,1,0,0,0,0,0,0,0,2000,4000,0,5359.0,55569.67,55569.67,-5569.67,6000.0,100.0,90
